0,-0.27,0,-0.05,-0.01,0,0,0,0,-0.09,-0.09,-0.03,0,0,0,0,0,0,0,0,-0.08,0,0,0
-0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1.06,0,0.18,0.11,0.16,0,0.06,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0.34
-0.05,0,1.06,0,0,0,0,0,0.1,0,0,0.05,0.3,0,0,0,0,0,0,0,0.11,0,0,0
-0.01,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.18,0,0,0,0.15,0.09,0.2,0.24,0.08,0.07,0,0.04,0,0,0,0,0,0.06,0,0,0.04,0
0,0,0.11,0,0,0.15,0,0.39,0.32,0.15,0,0.11,0.06,0,0,0,0,0,0.03,0,0,0,0,0
0,0,0.16,0,0,0.09,0.39,0,0.74,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.1,0,0.2,0.32,0.74,0,0.18,0.09,0.13,0,0,0,0,0,0,0,0,0,0,0,0
-0.09,0,0.06,0,-0.02,0.24,0.15,0.17,0.18,0,0.4,0.28,0,0.02,0.06,0.02,0.02,0,0.07,0,0,0,0.07,0.03
-0.09,0,0,0,0,0.08,0,0,0.09,0.4,0,0.18,0.06,0.16,0.12,0,0.09,0,0,0,0.1,0.02,0,0
-0.03,0,0.09,0.05,0,0.07,0.11,0,0.13,0.28,0.18,0,0.53,0.21,0.04,0.11,0.2,0.2,0.32,-0.19,0.1,0.34,0.11,0.13
0,0,0,0.3,0,0,0.06,0,0,0,0.06,0.53,0,0,0,0.18,0.59,0,0.13,0.38,0,0.08,0,0.1
0,0,0,0,0,0.04,0,0,0,0.02,0.16,0.21,0,0,0.67,0.64,0,0.28,0.34,0.66,0,0.07,0.17,0.17
0,0,0,0,0,0,0,0,0,0.06,0.12,0.04,0,0.67,0,0.44,0,0.26,0.18,0,0.36,0.14,0,0
0,0,0,0,0,0,0,0,0,0.02,0,0.11,0.18,0.64,0.44,0,0.03,0.34,0.11,0,0.38,0.29,0.11,0
0,0,0,0,0,0,0,0,0,0.02,0.09,0.2,0.59,0,0,0.03,0,0.94,0.07,0.2,0.24,0.02,0,0.26
0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.28,0.26,0.34,0.94,0,0.24,0.47,0,0.24,0.06,0.3
0,0,0,0,0,0,0.03,0,0,0.07,0,0.32,0.13,0.34,0.18,0.11,0.07,0.24,0,0,0.21,0,0,0.39
0,0,0,0,0,0.06,0,0,0,0,0,-0.19,0.38,0.66,0,0,0.2,0.47,0,0,0.22,0.25,0,0.3
-0.08,0,0,0.11,0,0,0,0,0,0,0.1,0.1,0,0,0.36,0.38,0.24,0,0.21,0.22,0,0.53,0.27,0.61
0,0,0,0,0,0,0,0,0,0,0.02,0.34,0.08,0.07,0.14,0.29,0.02,0.24,0,0.25,0.53,0,0.31,0.49
0,0,0,0,0,0.04,0,0,0,0.07,0,0.11,0,0.17,0,0.11,0,0.06,0,0,0.27,0.31,0,0.54
0,0,0.34,0,0,0,0,0,0,0.03,0,0.13,0.1,0.17,0,0,0.26,0.3,0.39,0.3,0.61,0.49,0.54,0
